CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653310400536,123451799,79,Bills,43.63,42728,20181227
4210653310400536,123451799,123,Healthcare,57.86,42703,20181225
4210653310400536,123451799,164,Test,57.4,42743,20181225
4210653310400536,123451799,90,Healthcare,99.06,42712,20181219
4210653310400536,123451799,39,Entertainment,5.14,42707,20181213
4210653310400536,123451799,21,Healthcare,47.51,42697,20181211
4210653310400536,123451799,107,Healthcare,46.8,42735,20181207
4210653310400536,123451799,70,Bills,57.91,42753,20181202
4210653310400536,123451799,166,Entertainment,71.36,42724,20181202
4210653310400536,123451799,66,Entertainment,5.38,42737,20181202
4210653310400536,123451799,11,Bills,18.29,42716,20181120
4210653310400536,123451799,105,Test,67.44,42691,20181110
4210653310400536,123451799,58,Entertainment,80.81,42689,20181106
4210653310400536,123451799,103,Healthcare,79.85,42766,20181104
4210653310400536,123451799,18,Grocery,75.04,42725,20181028
4210653310400536,123451799,53,Gas,63.89,42730,20181024
4210653310400536,123451799,188,Grocery,18.95,42768,20181024
4210653310400536,123451799,66,Gas,7.64,42732,20181019
4210653310400536,123451799,77,Grocery,58.17,42693,20181005
4210653310400536,123451799,111,Entertainment,99.18,42742,20180916
4210653310400536,123451799,52,Healthcare,57.34,42747,20180915
4210653310400536,123451799,105,Bills,24.17,42708,20180907
4210653310400536,123451799,60,Gas,27.48,42739,20180906
4210653310400536,123451799,121,Test,40.45,42741,20180902
4210653310400536,123451799,79,Education,28.75,42717,20180828
4210653310400536,123451799,145,Healthcare,100.95,42744,20180824
4210653310400536,123451799,58,Healthcare,8.92,42764,20180816
4210653310400536,123451799,80,Grocery,6.36,42711,20180812
4210653310400536,123451799,52,Bills,3.8,42721,20180805
4210653310400536,123451799,54,Education,64.43,42720,20180716
4210653310400536,123451799,166,Gas,77.55,42706,20180714
4210653310400536,123451799,175,Test,11.51,42761,20180714
4210653310400536,123451799,20,Test,98.89,42714,20180707
4210653310400536,123451799,126,Education,84.11,42726,20180703
4210653310400536,123451799,46,Bills,5.9,42767,20180703
4210653310400536,123451799,66,Grocery,88.55,42765,20180702
