CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653310102868,123453023,19,Bills,1.58,36772,20181224
4210653310102868,123453023,69,Test,83.47,36771,20181216
4210653310102868,123453023,2,Test,51.28,36769,20181208
4210653310102868,123453023,76,Entertainment,57.7,36780,20181208
4210653310102868,123453023,14,Grocery,58.09,36777,20181109
4210653310102868,123453023,29,Gas,71.76,36792,20181106
4210653310102868,123453023,170,Grocery,78.53,36786,20181005
4210653310102868,123453023,103,Education,86.32,36778,20180917
4210653310102868,123453023,30,Education,38.79,36789,20180907
4210653310102868,123453023,38,Grocery,46.62,36791,20180810
4210653310102868,123453023,4,Healthcare,56.2,36785,20180722
4210653310102868,123453023,15,Grocery,45.18,36768,20180714
4210653310102868,123453023,67,Education,88.48,36775,20180627
4210653310102868,123453023,99,Test,23.64,36770,20180622
4210653310102868,123453023,23,Test,68.4,36767,20180621
4210653310102868,123453023,93,Bills,97.59,36788,20180616
4210653310102868,123453023,14,Entertainment,18.65,36781,20180609
4210653310102868,123453023,124,Gas,9.82,36773,20180607
4210653310102868,123453023,8,Healthcare,87.23,36793,20180418
4210653310102868,123453023,103,Education,10.73,36784,20180416
4210653310102868,123453023,175,Bills,26.35,36787,20180411
4210653310102868,123453023,4,Gas,19.33,36790,20180324
4210653310102868,123453023,18,Gas,67.8,36776,20180218
4210653310102868,123453023,37,Grocery,30.1,36774,20180211
4210653310102868,123453023,15,Bills,20.32,36779,20180207
4210653310102868,123453023,31,Bills,80.99,36783,20180109
4210653310102868,123453023,7,Education,25.99,36782,20180106
