CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653390632291,123456330,9,Entertainment,78.05,19246,20180728
4210653366516673,123455907,9,Test,96.57,21346,20180727
4210653347730390,123453107,9,Healthcare,94.19,36425,20180727
4210653317478942,123454502,9,Grocery,64.61,28640,20180727
4210653330141857,123452194,9,Entertainment,16.07,41030,20180727
4210653389707894,123457184,9,Education,34.76,14891,20180725
4210653338457374,123457745,9,Entertainment,92.49,11716,20180724
4210653330432618,123451504,9,Education,43.33,43941,20180723
4210653347167031,123453604,9,Entertainment,92.1,33734,20180723
4210653356095097,123458038,9,Bills,80.01,9877,20180722
4210653394226930,123452026,9,Education,29.84,41647,20180722
4210653379087852,123452023,9,Entertainment,97.1,41736,20180720
4210653368186328,123452240,9,Gas,49.2,40726,20180718
4210653312569486,123457321,9,Test,66.45,13681,20180717
4210653378605302,123459336,9,Test,86.69,3136,20180715
4210653398193898,123453267,9,Gas,8.62,35643,20180715
4210653332531713,123454224,9,Test,58.97,30488,20180715
4210653339017599,123455101,9,Bills,69.18,25208,20180715
4210653375181712,123452301,9,Grocery,20.83,40517,20180714
4210653379370074,123452330,9,Healthcare,6.69,40364,20180709
4210653387194173,123458001,9,Grocery,35.26,9974,20180709
4210653378804859,123456011,9,Bills,84.8,21015,20180708
4210653393519455,123459803,9,Healthcare,56.23,1081,20180708
4210653360484113,123458830,9,Gas,54.36,5374,20180708
4210653349028689,123459988,9,Test,70.63,16,20180706
4210653388599245,123459663,9,Entertainment,12.05,1796,20180705
4210653325199161,123456399,9,Bills,20.47,19044,20180705
4210653369943809,123455754,9,Bills,2.04,22109,20180705
4210653344829469,123456738,9,Entertainment,34.26,17297,20180705
4210653352575564,123458309,9,Gas,81.99,8355,20180704
4210653328570849,123459288,9,Entertainment,11.86,3221,20180704
4210653385929355,123457547,9,Education,42.92,12494,20180704
4210653366110577,123453486,9,Test,11.13,34598,20180703
4210653373787581,123459170,9,Bills,19.27,3995,20180702
4210653365102251,123452984,9,Bills,41.53,36991,20180702
4210653340296427,123457457,9,Education,28.92,12951,20180701
4210653389092101,123451889,9,Bills,96.47,42240,20180701
