CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653380077193,123451820,104,Grocery,25.38,42415,20180728
4210653380077193,123451820,104,Entertainment,29.21,42440,20180728
4210653386082107,123451173,104,Gas,43.59,45534,20180727
4210653334310525,123457849,104,Bills,86.98,10962,20180726
4210653352356652,123456131,104,Grocery,11.56,20333,20180725
4210653316211933,123453191,104,Test,21.95,35968,20180724
4210653349417485,123458519,104,Education,9.65,7157,20180723
4210653335173324,123454189,104,Entertainment,46.08,30744,20180723
4210653312952302,123453796,104,Bills,63.31,32261,20180723
4210653378954063,123459692,104,Grocery,13.4,1665,20180721
4210653374816736,123457037,104,Test,17.01,15939,20180721
4210653312478046,123455692,104,Grocery,69.41,22571,20180721
4210653367422193,123451886,104,Grocery,3.16,42291,20180721
4210653337408763,123453303,104,Grocery,40.94,35418,20180719
4210653337395508,123455677,104,Gas,5.06,22676,20180718
4210653325413371,123453600,104,Gas,52.95,33852,20180717
4210653368232771,123453403,104,Education,70.48,34926,20180715
4210653395813903,123456042,104,Healthcare,48.71,20959,20180714
4210653319745266,123458251,104,Entertainment,38.06,8857,20180711
4210653336673875,123456862,104,Education,80.83,16576,20180710
4210653312346064,123456466,104,Grocery,26.91,18617,20180709
4210653366287973,123455518,104,Test,53.61,23214,20180708
4210653372705061,123454559,104,Entertainment,76.67,27995,20180706
4210653343509148,123458999,104,Test,81.66,4690,20180705
4210653310459911,123453875,104,Grocery,49.38,31901,20180703
4210653321611888,123454344,104,Education,46.54,29702,20180701
