CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653311730764,123459278,10,Entertainment,37.37,3405,20180827
4210653345456852,123453717,10,Bills,64.39,33012,20180825
4210653368545581,123453747,10,Education,23.97,32807,20180824
4210653388557910,123457068,10,Gas,57.95,15794,20180824
4210653348888600,123456079,10,Gas,96.62,20703,20180823
4210653375981317,123451012,10,Education,92.12,46649,20180822
4210653395813903,123456042,10,Grocery,31.97,20958,20180820
4210653321125592,123453723,10,Entertainment,94.12,32960,20180819
4210653330748870,123458317,10,Grocery,82.84,8331,20180819
4210653395813903,123456042,10,Entertainment,96.66,20979,20180819
4210653360369726,123457918,10,Test,37.74,10434,20180818
4210653366489972,123455217,10,Bills,73.47,24796,20180818
4210653322807170,123451092,10,Test,80.85,46245,20180817
4210653330212793,123458616,10,Education,14.21,6625,20180816
4210653343680948,123458407,10,Bills,54.24,7688,20180816
4210653341699767,123457826,10,Grocery,54.44,11151,20180816
4210653310817373,123457639,10,Education,70.75,12223,20180816
4210653323781193,123455582,10,Grocery,26.81,23032,20180815
4210653332949005,123451135,10,Education,71.8,45730,20180815
4210653342461568,123458035,10,Education,16.85,9909,20180814
4210653331052234,123454249,10,Bills,94.1,30393,20180813
4210653391639969,123456695,10,Bills,38.44,17513,20180813
4210653354112491,123456557,10,Education,85.07,18221,20180813
4210653310356919,123454431,10,Bills,45.13,29105,20180811
4210653365921958,123451131,10,Gas,22.28,45824,20180811
4210653386324626,123459139,10,Grocery,3.85,4099,20180810
4210653392568941,123452342,10,Entertainment,23.28,40342,20180807
4210653397448957,123458332,10,Grocery,100.03,8154,20180807
4210653370850340,123456849,10,Healthcare,10.66,16640,20180807
4210653379492990,123453623,10,Test,42.7,33600,20180807
4210653355326654,123455074,10,Healthcare,9.67,25579,20180806
4210653352218492,123458883,10,Healthcare,9.96,5152,20180806
4210653375981317,123451012,10,Healthcare,70.68,46592,20180805
4210653385929355,123457547,10,Bills,84.95,12509,20180804
4210653313592576,123455038,10,Gas,86.27,25844,20180804
4210653362221487,123454555,10,Grocery,51.91,28069,20180804
4210653372411570,123459277,10,Grocery,36.75,3432,20180803
4210653357921914,123453940,10,Entertainment,76.84,31676,20180803
4210653378954063,123459692,10,Education,46.81,1682,20180803
4210653375981317,123451012,10,Healthcare,60.97,46610,20180803
4210653355971924,123459764,10,Gas,75.84,1271,20180803
4210653325679516,123455460,10,Education,62.88,23666,20180802
4210653385929355,123457547,10,Bills,28.07,12466,20180802
4210653386419186,123452553,10,Test,95.98,38846,20180802
