CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653380077193,123451820,104,Healthcare,72.86,42431,20180828
4210653328441999,123456308,104,Bills,8.9,19376,20180828
4210653324242739,123454531,104,Gas,24.26,28314,20180828
4210653336455677,123455514,104,Test,57.29,23269,20180828
4210653324469428,123458890,104,Healthcare,47.96,5120,20180827
4210653364175905,123454251,104,Education,95.64,30346,20180826
4210653375981317,123451012,104,Entertainment,77.11,46633,20180825
4210653334310525,123457849,104,Entertainment,51.38,10935,20180824
4210653325548735,123458073,104,Entertainment,17.61,9678,20180823
4210653358330252,123454437,104,Grocery,74.1,29089,20180823
4210653381143901,123457931,104,Education,15.73,10399,20180820
4210653338289172,123457455,104,Entertainment,75.19,13026,20180819
4210653328770662,123453008,104,Bills,29.02,36893,20180819
4210653310116272,123454487,104,Test,5.3,28710,20180819
4210653382827863,123452636,104,Healthcare,23.35,38418,20180817
4210653328624971,123457278,104,Healthcare,43.55,13993,20180817
4210653379686106,123451125,104,Healthcare,60.04,45955,20180817
4210653399389907,123451417,104,Grocery,20.61,44399,20180815
4210653320427983,123455386,104,Healthcare,13.95,24107,20180815
4210653356030493,123454842,104,Education,98.19,27038,20180815
4210653328674689,123455000,104,Healthcare,5.61,26134,20180813
4210653382525923,123451868,104,Grocery,3.26,42341,20180813
4210653324469428,123458890,104,Bills,92.62,5124,20180813
4210653354880987,123454288,104,Bills,33.93,29890,20180812
4210653315077043,123456538,104,Grocery,66.26,18367,20180812
4210653336268386,123452052,104,Grocery,72.75,41606,20180811
4210653364243847,123456057,104,Gas,88.39,20786,20180810
4210653374041659,123457354,104,Gas,34.21,13480,20180809
4210653314209155,123452454,104,Grocery,97.52,39754,20180807
4210653351622578,123453488,104,Education,96.32,34492,20180806
4210653338457374,123457745,104,Entertainment,67.45,11730,20180806
4210653341896501,123457744,104,Test,42.49,11801,20180805
4210653378605302,123459336,104,Entertainment,45.16,3107,20180805
4210653321611888,123454344,104,Education,54.45,29754,20180803
4210653392410547,123454297,104,Education,18.57,29867,20180803
4210653325680076,123455440,104,Test,12.03,23729,20180803
4210653380077193,123451820,104,Healthcare,11.72,42477,20180803
4210653373700115,123455896,104,Test,62.76,21513,20180803
4210653355849690,123459368,104,Gas,94.96,2952,20180803
4210653391080827,123452497,104,Gas,96.58,39465,20180802
4210653316625296,123456455,104,Test,31.53,18660,20180801
