CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653312528499,123459918,158,Bills,42.62,233,20180728
4210653370850340,123456849,158,Test,96.13,16689,20180728
4210653380817895,123458807,158,Entertainment,51.45,5634,20180727
4210653312346064,123456466,158,Bills,79.6,18611,20180726
4210653317392678,123457286,158,Gas,40.31,13775,20180725
4210653362677974,123451185,158,Bills,32.49,45410,20180725
4210653339902896,123458094,158,Gas,72.94,9528,20180723
4210653349675223,123459282,158,Test,30.53,3318,20180722
4210653379686106,123451125,158,Education,23.73,45958,20180722
4210653356896070,123456963,158,Entertainment,33.86,16174,20180720
4210653313825914,123459909,158,Bills,96.09,421,20180719
4210653385819143,123451503,158,Grocery,29.16,44024,20180719
4210653326588404,123459831,158,Entertainment,67.24,840,20180716
4210653348888600,123456079,158,Bills,54.29,20671,20180716
4210653321728527,123452980,158,Education,69.44,37064,20180716
4210653345533381,123457108,158,Bills,31.51,15384,20180715
4210653339683726,123453414,158,Grocery,94.8,34863,20180715
4210653383230786,123459499,158,Entertainment,76.76,2590,20180714
4210653348574254,123458563,158,Test,74.86,6976,20180712
4210653390509374,123459508,158,Education,43.27,2467,20180709
4210653369088511,123458915,158,Grocery,67.94,4938,20180707
4210653363336062,123455002,158,Healthcare,2.68,26008,20180707
4210653363336062,123455002,158,Entertainment,26.45,26033,20180707
4210653321611888,123454344,158,Gas,95.98,29719,20180707
4210653370850340,123456849,158,Test,67.68,16725,20180706
4210653337595773,123454191,158,Grocery,54.63,30714,20180706
4210653350713693,123452538,158,Education,18.3,38902,20180705
4210653369171115,123451801,158,Bills,84.71,42636,20180705
4210653369179447,123454532,158,Education,42.38,28236,20180703
4210653371070866,123458546,158,Test,54.74,6989,20180702
4210653314629341,123456436,158,Bills,55.96,18841,20180702
