CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653369088511,123458915,2,Gas,44.31,4943,20180428
4210653364563345,123455081,2,Bills,16.47,25502,20180428
4210653315430155,123451818,2,Grocery,34.42,42527,20180426
4210653352735334,123455802,2,Entertainment,36.88,21953,20180425
4210653394226930,123452026,2,Education,91.64,41702,20180425
4210653370921357,123458789,2,Grocery,16.05,5732,20180424
4210653376562882,123457943,2,Education,65.95,10273,20180424
4210653372239111,123456287,2,Gas,81.06,19546,20180424
4210653334618766,123452624,2,Gas,82.14,38594,20180424
4210653320822450,123451330,2,Bills,51.55,45006,20180421
4210653397089999,123458737,2,Gas,11.53,5900,20180421
4210653336961447,123457631,2,Gas,52.21,12289,20180421
4210653358247095,123453335,2,Education,19.45,35282,20180421
4210653360292884,123456678,2,Test,81.08,17624,20180420
4210653325156425,123456120,2,Test,83.84,20399,20180420
4210653315077043,123456538,2,Healthcare,97.9,18360,20180420
4210653312346064,123456466,2,Healthcare,91.43,18586,20180419
4210653370713479,123459247,2,Education,31.16,3590,20180418
4210653314629341,123456436,2,Healthcare,62.21,18827,20180418
4210653343762420,123452714,2,Gas,73.48,38213,20180418
4210653315537073,123451454,2,Education,62.98,44158,20180418
4210653335173324,123454189,2,Gas,45.68,30753,20180417
4210653349675223,123459282,2,Entertainment,83.44,3345,20180416
4210653321554682,123458932,2,Gas,63.37,4907,20180416
4210653347430784,123457274,2,Grocery,63.0,14119,20180416
4210653343942374,123452729,2,Grocery,35.3,38101,20180416
4210653360578881,123452087,2,Education,36.49,41353,20180415
4210653328570849,123459288,2,Education,41.25,3241,20180414
4210653389005263,123454636,2,Entertainment,28.98,27623,20180412
4210653360635482,123453019,2,Grocery,75.85,36813,20180412
4210653317357817,123456582,2,Healthcare,88.47,18098,20180411
4210653331075093,123455505,2,Gas,46.21,23327,20180411
4210653357951161,123451477,2,Gas,20.47,44098,20180411
4210653372705061,123454559,2,Test,31.43,27974,20180411
4210653339714399,123459810,2,Test,70.18,999,20180410
4210653381566399,123458197,2,Gas,44.87,9081,20180408
4210653360635482,123453019,2,Entertainment,66.81,36851,20180407
4210653347932586,123459201,2,Grocery,61.67,3708,20180405
4210653373626291,123459196,2,Education,77.01,3725,20180403
4210653338000840,123457233,2,Healthcare,95.67,14443,20180402
4210653319637723,123452975,2,Healthcare,61.74,37133,20180402
4210653375686315,123451527,2,Entertainment,55.82,43757,20180401
