CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653310195948,123459758,158,Entertainment,50.07,1317,20180228
4210653383063484,123457673,158,Grocery,13.7,12067,20180228
4210653364500210,123456243,158,Test,17.91,19799,20180228
4210653393404929,123459619,158,Healthcare,38.37,1953,20180227
4210653341972842,123452370,158,Healthcare,94.64,40240,20180226
4210653388557910,123457068,158,Healthcare,78.36,15733,20180224
4210653379667394,123455552,158,Bills,62.27,23100,20180221
4210653378543391,123454683,158,Gas,63.36,27428,20180221
4210653378804859,123456011,158,Test,22.25,21022,20180219
4210653312261759,123453196,158,Education,99.2,35953,20180219
4210653349675223,123459282,158,Bills,39.72,3288,20180217
4210653312478046,123455692,158,Bills,79.59,22558,20180216
4210653380817895,123458807,158,Grocery,94.06,5665,20180214
4210653353435143,123455115,158,Gas,88.34,25152,20180214
4210653364370991,123458254,158,Gas,60.8,8803,20180213
4210653354080929,123457963,158,Gas,5.03,10032,20180213
4210653372411570,123459277,158,Gas,96.46,3467,20180211
4210653383799800,123457828,158,Test,13.27,11143,20180211
4210653344121779,123453765,158,Grocery,79.57,32406,20180211
4210653386474020,123459723,158,Education,69.36,1476,20180210
4210653313038847,123454933,158,Test,92.1,26454,20180208
4210653394226930,123452026,158,Education,53.78,41644,20180208
4210653355326654,123455074,158,Education,60.44,25624,20180207
4210653387194173,123458001,158,Gas,100.55,9982,20180205
4210653393940239,123457191,158,Gas,91.16,14855,20180205
4210653338533589,123451701,158,Education,96.0,43073,20180203
4210653312569486,123457321,158,Entertainment,1.01,13638,20180202
4210653383788447,123451108,158,Entertainment,16.87,46038,20180202
