CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653314009556,123451071,23,Education,49.05,46408,20180828
4210653322758501,123453639,23,Entertainment,85.32,33496,20180828
4210653369171115,123451801,23,Bills,77.21,42678,20180828
4210653324469428,123458890,23,Grocery,52.11,5130,20180827
4210653374041659,123457354,23,Education,90.42,13495,20180827
4210653342825274,123455467,23,Education,10.86,23496,20180825
4210653328786353,123454745,23,Education,70.15,27278,20180821
4210653354321803,123459833,23,Education,70.84,718,20180818
4210653327620677,123456995,23,Education,71.12,16098,20180818
4210653382525923,123451868,23,Healthcare,78.6,42360,20180817
4210653336961447,123457631,23,Education,16.44,12292,20180816
4210653323251469,123458702,23,Gas,64.65,6156,20180815
4210653364927281,123458224,23,Entertainment,17.39,8964,20180814
4210653383049785,123453395,23,Education,13.52,34994,20180814
4210653357523044,123457093,23,Education,89.85,15552,20180813
4210653339714399,123459810,23,Bills,50.54,1049,20180812
4210653313338885,123458645,23,Healthcare,3.57,6517,20180812
4210653397089999,123458737,23,Bills,16.19,5906,20180810
4210653313038847,123454933,23,Test,61.86,26432,20180810
4210653356219480,123455934,23,Bills,76.74,21273,20180810
4210653383788447,123451108,23,Healthcare,1.44,46005,20180810
4210653364315406,123453720,23,Grocery,28.06,33002,20180808
4210653349028689,123459988,23,Gas,95.39,8,20180808
4210653310773972,123457511,23,Healthcare,96.0,12719,20180807
4210653350448121,123454426,23,Bills,3.59,29132,20180807
4210653345270649,123457155,23,Education,88.79,15034,20180807
4210653385089392,123455683,23,Gas,95.45,22613,20180807
4210653348535033,123459839,23,Healthcare,19.16,692,20180805
4210653352364608,123451215,23,Grocery,95.0,45287,20180805
4210653397985221,123452993,23,Grocery,10.72,36946,20180804
4210653367422193,123451886,23,Test,97.95,42305,20180804
4210653376655865,123454594,23,Gas,84.2,27788,20180802
4210653325062598,123451604,23,Gas,100.12,43305,20180802
