CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653334888971,123458848,2,Education,61.71,5235,20180828
4210653389707894,123457184,2,Grocery,11.37,14911,20180827
4210653364216304,123458679,2,Test,11.29,6349,20180826
4210653347447048,123458117,2,Gas,62.63,9335,20180826
4210653321611888,123454344,2,Bills,35.64,29777,20180825
4210653347105876,123456525,2,Test,24.89,18434,20180824
4210653318126494,123454203,2,Entertainment,7.98,30617,20180824
4210653334888971,123458848,2,Healthcare,26.4,5236,20180823
4210653361046455,123454163,2,Entertainment,23.52,30927,20180823
4210653312952302,123453796,2,Entertainment,46.91,32301,20180823
4210653384029972,123455659,2,Grocery,95.54,22787,20180822
4210653388911018,123454561,2,Grocery,73.49,27893,20180822
4210653354880987,123454288,2,Grocery,65.11,29943,20180819
4210653323140179,123452236,2,Grocery,21.09,40767,20180819
4210653389631531,123455362,2,Healthcare,25.27,24227,20180818
4210653357921914,123453940,2,Grocery,74.69,31695,20180818
4210653319415654,123454956,2,Test,2.62,26197,20180816
4210653362185731,123457307,2,Education,35.66,13760,20180813
4210653317772173,123457070,2,Entertainment,16.11,15654,20180813
4210653333031957,123459305,2,Entertainment,26.23,3190,20180812
4210653348484416,123455035,2,Bills,72.58,25891,20180811
4210653317360015,123453565,2,Healthcare,50.21,34050,20180810
4210653344857749,123458499,2,Gas,36.21,7253,20180809
4210653370890538,123452286,2,Education,2.56,40604,20180809
4210653353747504,123451786,2,Test,37.49,42796,20180807
4210653342945303,123455554,2,Gas,23.69,23058,20180805
4210653328645639,123452250,2,Healthcare,68.72,40711,20180805
4210653348834084,123453327,2,Education,25.71,35355,20180804
4210653397435570,123451300,2,Grocery,66.82,45206,20180804
