CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653376558751,123458839,2,Test,16.83,5346,20180628
4210653316705450,123455462,2,Test,50.99,23554,20180627
4210653378954063,123459692,2,Education,29.36,1686,20180626
4210653337595773,123454191,2,Education,79.37,30682,20180625
4210653330628709,123453230,2,Entertainment,99.98,35838,20180625
4210653346301110,123452460,2,Healthcare,83.32,39677,20180625
4210653332949005,123451135,2,Gas,70.54,45768,20180624
4210653366626523,123455425,2,Education,99.16,23878,20180623
4210653321611888,123454344,2,Gas,72.27,29772,20180622
4210653386324626,123459139,2,Healthcare,95.96,4108,20180621
4210653336628376,123455296,2,Gas,81.43,24508,20180621
4210653322552664,123454641,2,Healthcare,11.45,27530,20180618
4210653367422193,123451886,2,Test,73.7,42317,20180618
4210653394226930,123452026,2,Gas,68.82,41686,20180617
4210653313088465,123455975,2,Entertainment,76.12,21194,20180614
4210653347105876,123456525,2,Education,4.83,18464,20180613
4210653324469428,123458890,2,Bills,6.43,5121,20180610
4210653371748805,123457489,2,Entertainment,31.44,12865,20180609
4210653327324219,123458390,2,Entertainment,63.44,7866,20180607
4210653342005802,123457830,2,Healthcare,44.43,11134,20180607
4210653329555948,123454936,2,Grocery,21.58,26339,20180606
4210653396541204,123451578,2,Bills,13.4,43574,20180606
4210653363336062,123455002,2,Grocery,36.01,26035,20180603
4210653363499134,123452592,2,Education,64.26,38666,20180603
4210653394207005,123454889,2,Education,19.42,26857,20180602
4210653316625296,123456455,2,Grocery,63.01,18662,20180601
