CREDIT_CARD_NO,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE,TRANSACTION_ID,TIMEID
4210653354685755,123453711,2,Gas,21.27,33142,20180728
4210653356896070,123456963,2,Entertainment,28.83,16179,20180728
4210653352735334,123455802,2,Test,98.3,21970,20180727
4210653381566399,123458197,2,Bills,25.48,9047,20180727
4210653355100786,123457452,2,Gas,68.68,13142,20180726
4210653350448121,123454426,2,Entertainment,28.61,29182,20180725
4210653371070866,123458546,2,Test,47.18,7036,20180725
4210653359049884,123457941,2,Test,2.89,10286,20180725
4210653354651418,123457227,2,Grocery,85.69,14583,20180725
4210653369869032,123452380,2,Bills,33.21,40028,20180723
4210653333257054,123452706,2,Gas,51.44,38272,20180723
4210653349525413,123455876,2,Test,92.35,21614,20180722
4210653380523556,123455439,2,Test,33.99,23784,20180722
4210653381873748,123455735,2,Grocery,77.49,22204,20180720
4210653312346064,123456466,2,Grocery,1.95,18632,20180720
4210653355758008,123451445,2,Entertainment,77.89,44229,20180720
4210653356896070,123456963,2,Grocery,55.29,16192,20180719
4210653316705450,123455462,2,Entertainment,58.57,23593,20180718
4210653378667686,123452783,2,Grocery,49.29,37774,20180717
4210653386181287,123455423,2,Gas,87.26,23907,20180716
4210653379430189,123453438,2,Test,50.73,34764,20180716
4210653354080929,123457963,2,Bills,23.24,10087,20180716
4210653324260789,123456760,2,Grocery,33.71,17110,20180715
4210653321832203,123453371,2,Bills,93.18,35087,20180715
4210653382968758,123455878,2,Entertainment,22.86,21584,20180714
4210653328570849,123459288,2,Education,17.02,3237,20180713
4210653380478154,123455783,2,Test,51.06,21986,20180713
4210653313592576,123455038,2,Test,86.19,25863,20180713
4210653399237031,123456554,2,Education,23.94,18312,20180713
4210653385358208,123459771,2,Healthcare,13.52,1220,20180713
4210653379194622,123452951,2,Bills,75.7,37214,20180711
4210653364927281,123458224,2,Grocery,30.46,8935,20180710
4210653398700594,123458614,2,Healthcare,91.55,6746,20180709
4210653331288832,123455966,2,Gas,96.23,21259,20180708
4210653356656459,123453166,2,Education,44.43,36220,20180708
4210653322109605,123454478,2,Grocery,16.85,28764,20180706
4210653364927281,123458224,2,Healthcare,92.5,8954,20180705
